site_id	point_id	Latitude	Longitude	Code.Petit.Plateau	Site	Habitat	Material	Replicate	Control	Control_type
H20_Dl_r3	H20	H20-D	4.082857	-52.681856	70-370	Petit Plateau	Terra firme	litter	r3	sample	NA
H20_Dl_r4	H20	H20-D	4.082857	-52.681856	70-370	Petit Plateau	Terra firme	litter	r4	sample	NA
H20_Ds_r1	H20	H20-D	4.082857	-52.681856	70-370	Petit Plateau	Terra firme	soil	r1	sample	NA
H20_Ds_r2	H20	H20-D	4.082857	-52.681856	70-370	Petit Plateau	Terra firme	soil	r2	sample	NA
H20_Ds_r3	H20	H20-D	4.082857	-52.681856	70-370	Petit Plateau	Terra firme	soil	r3	sample	NA
H20_Ds_r4	H20	H20-D	4.082857	-52.681856	70-370	Petit Plateau	Terra firme	soil	r4	sample	NA
H20_El_r1	H20	H20-E	4.082839	-52.681775	50-370	Petit Plateau	Terra firme	litter	r1	sample	NA
H20_El_r2	H20	H20-E	4.082839	-52.681775	50-370	Petit Plateau	Terra firme	litter	r2	sample	NA
H20_El_r3	H20	H20-E	4.082839	-52.681775	50-370	Petit Plateau	Terra firme	litter	r3	sample	NA
H20_El_r4	H20	H20-E	4.082839	-52.681775	50-370	Petit Plateau	Terra firme	litter	r4	sample	NA
H20_Es_r1	H20	H20-E	4.082839	-52.681775	50-370	Petit Plateau	Terra firme	soil	r1	sample	NA
H20_Es_r2	H20	H20-E	4.082839	-52.681775	50-370	Petit Plateau	Terra firme	soil	r2	sample	NA
H20_Es_r3	H20	H20-E	4.082839	-52.681775	50-370	Petit Plateau	Terra firme	soil	r3	sample	NA
H20_Es_r4	H20	H20-E	4.082839	-52.681775	50-370	Petit Plateau	Terra firme	soil	r4	sample	NA
H20_Fl_r1	H20	H20-F	4.08304	-52.618758	50-350	Petit Plateau	Terra firme	litter	r1	sample	NA
H20_Fl_r2	H20	H20-F	4.08304	-52.618758	50-350	Petit Plateau	Terra firme	litter	r2	sample	NA
H20_Fl_r3	H20	H20-F	4.08304	-52.618758	50-350	Petit Plateau	Terra firme	litter	r3	sample	NA
H20_Fl_r4	H20	H20-F	4.08304	-52.618758	50-350	Petit Plateau	Terra firme	litter	r4	sample	NA
H20_Fs_r1	H20	H20-F	4.08304	-52.618758	50-350	Petit Plateau	Terra firme	soil	r1	sample	NA
H20_Fs_r2	H20	H20-F	4.08304	-52.618758	50-350	Petit Plateau	Terra firme	soil	r2	sample	NA
H20_Fs_r3	H20	H20-F	4.08304	-52.618758	50-350	Petit Plateau	Terra firme	soil	r3	sample	NA
H20_Fs_r4	H20	H20-F	4.08304	-52.618758	50-350	Petit Plateau	Terra firme	soil	r4	sample	NA
H20_Gl_r1	H20	H20-G	4.083078	-52.681965	50-330	Petit Plateau	Terra firme	litter	r1	sample	NA
H20_Gl_r2	H20	H20-G	4.083078	-52.681965	50-330	Petit Plateau	Terra firme	litter	r2	sample	NA
H20_Gl_r3	H20	H20-G	4.083078	-52.681965	50-330	Petit Plateau	Terra firme	litter	r3	sample	NA
H20_Gl_r4	H20	H20-G	4.083078	-52.681965	50-330	Petit Plateau	Terra firme	litter	r4	sample	NA
H20_Gs_r1	H20	H20-G	4.083078	-52.681965	50-330	Petit Plateau	Terra firme	soil	r1	sample	NA
H20_Gs_r2	H20	H20-G	4.083078	-52.681965	50-330	Petit Plateau	Terra firme	soil	r2	sample	NA
H20_Gs_r3	H20	H20-G	4.083078	-52.681965	50-330	Petit Plateau	Terra firme	soil	r3	sample	NA
H20_Gs_r4	H20	H20-G	4.083078	-52.681965	50-330	Petit Plateau	Terra firme	soil	r4	sample	NA
H20_Hl_r1	H20	H20-H	4.031718	-52.682164	50-310	Petit Plateau	Terra firme	litter	r1	sample	NA
H20_Hl_r2	H20	H20-H	4.031718	-52.682164	50-310	Petit Plateau	Terra firme	litter	r2	sample	NA
H20_Hl_r3	H20	H20-H	4.031718	-52.682164	50-310	Petit Plateau	Terra firme	litter	r3	sample	NA
H20_Hl_r4	H20	H20-H	4.031718	-52.682164	50-310	Petit Plateau	Terra firme	litter	r4	sample	NA
H20_Hs_r1	H20	H20-H	4.031718	-52.682164	50-310	Petit Plateau	Terra firme	soil	r1	sample	NA
H20_Hs_r2	H20	H20-H	4.031718	-52.682164	50-310	Petit Plateau	Terra firme	soil	r2	sample	NA
H20_Hs_r3	H20	H20-H	4.031718	-52.682164	50-310	Petit Plateau	Terra firme	soil	r3	sample	NA
H20_Hs_r4	H20	H20-H	4.031718	-52.682164	50-310	Petit Plateau	Terra firme	soil	r4	sample	NA
H20_Il_r1	H20	H20-I	4.083272	-52.682151	30-310	Petit Plateau	Terra firme	litter	r1	sample	NA
H20_Il_r2	H20	H20-I	4.083272	-52.682151	30-310	Petit Plateau	Terra firme	litter	r2	sample	NA
H20_Il_r3	H20	H20-I	4.083272	-52.682151	30-310	Petit Plateau	Terra firme	litter	r3	sample	NA
H20_Il_r4	H20	H20-I	4.083272	-52.682151	30-310	Petit Plateau	Terra firme	litter	r4	sample	NA
H20_Is_r1	H20	H20-I	4.083272	-52.682151	30-310	Petit Plateau	Terra firme	soil	r1	sample	NA
H20_Is_r2	H20	H20-I	4.083272	-52.682151	30-310	Petit Plateau	Terra firme	soil	r2	sample	NA
H20_Is_r3	H20	H20-I	4.083272	-52.682151	30-310	Petit Plateau	Terra firme	soil	r3	sample	NA
H20_Is_r4	H20	H20-I	4.083272	-52.682151	30-310	Petit Plateau	Terra firme	soil	r4	sample	NA
H20_Jl_r1	H20	H20-J	4.083411	-52.682034	30-330	Petit Plateau	Terra firme	litter	r1	sample	NA
H20_Jl_r2	H20	H20-J	4.083411	-52.682034	30-330	Petit Plateau	Terra firme	litter	r2	sample	NA
H20_Jl_r3	H20	H20-J	4.083411	-52.682034	30-330	Petit Plateau	Terra firme	litter	r3	sample	NA
H20_Jl_r4	H20	H20-J	4.083411	-52.682034	30-330	Petit Plateau	Terra firme	litter	r4	sample	NA
H20_Js_r1	H20	H20-J	4.083411	-52.682034	30-330	Petit Plateau	Terra firme	soil	r1	sample	NA
H20_Js_r2	H20	H20-J	4.083411	-52.682034	30-330	Petit Plateau	Terra firme	soil	r2	sample	NA
H20_Js_r3	H20	H20-J	4.083411	-52.682034	30-330	Petit Plateau	Terra firme	soil	r3	sample	NA
H20_Js_r4	H20	H20-J	4.083411	-52.682034	30-330	Petit Plateau	Terra firme	soil	r4	sample	NA
H20_Kl_r1	H20	H20-K	4.08325	-52.681894	30-350	Petit Plateau	Terra firme	litter	r1	sample	NA
H20_Kl_r2	H20	H20-K	4.08325	-52.681894	30-350	Petit Plateau	Terra firme	litter	r2	sample	NA
H20_Kl_r3	H20	H20-K	4.08325	-52.681894	30-350	Petit Plateau	Terra firme	litter	r3	sample	NA
H20_Kl_r4	H20	H20-K	4.08325	-52.681894	30-350	Petit Plateau	Terra firme	litter	r4	sample	NA
H20_Ks_r1	H20	H20-K	4.08325	-52.681894	30-350	Petit Plateau	Terra firme	soil	r1	sample	NA
H20_Ks_r2	H20	H20-K	4.08325	-52.681894	30-350	Petit Plateau	Terra firme	soil	r2	sample	NA
H20_Ks_r3	H20	H20-K	4.08325	-52.681894	30-350	Petit Plateau	Terra firme	soil	r3	sample	NA
H20_Ks_r4	H20	H20-K	4.08325	-52.681894	30-350	Petit Plateau	Terra firme	soil	r4	sample	NA
H20_Ll_r1	H20	H20-L	4.083155	-52.681725	30-370	Petit Plateau	Terra firme	litter	r1	sample	NA
H20_Ll_r2	H20	H20-L	4.083155	-52.681725	30-370	Petit Plateau	Terra firme	litter	r2	sample	NA
H20_Ll_r3	H20	H20-L	4.083155	-52.681725	30-370	Petit Plateau	Terra firme	litter	r3	sample	NA
H20_Ll_r4	H20	H20-L	4.083155	-52.681725	30-370	Petit Plateau	Terra firme	litter	r4	sample	NA
H20_Ls_r1	H20	H20-L	4.083155	-52.681725	30-370	Petit Plateau	Terra firme	soil	r1	sample	NA
H20_Ls_r2	H20	H20-L	4.083155	-52.681725	30-370	Petit Plateau	Terra firme	soil	r2	sample	NA
H20_Ls_r3	H20	H20-L	4.083155	-52.681725	30-370	Petit Plateau	Terra firme	soil	r3	sample	NA
H20_Ls_r4	H20	H20-L	4.083155	-52.681725	30-370	Petit Plateau	Terra firme	soil	r4	sample	NA
H20_Ml_r1	H20	H20-M	4.083161	-52.681634	10-370	Petit Plateau	Terra firme	litter	r1	sample	NA
H20_Ml_r2	H20	H20-M	4.083161	-52.681634	10-370	Petit Plateau	Terra firme	litter	r2	sample	NA
H20_Ml_r3	H20	H20-M	4.083161	-52.681634	10-370	Petit Plateau	Terra firme	litter	r3	sample	NA
H20_Ml_r4	H20	H20-M	4.083161	-52.681634	10-370	Petit Plateau	Terra firme	litter	r4	sample	NA
H20_Ms_r1	H20	H20-M	4.083161	-52.681634	10-370	Petit Plateau	Terra firme	soil	r1	sample	NA
H20_Ms_r2	H20	H20-M	4.083161	-52.681634	10-370	Petit Plateau	Terra firme	soil	r2	sample	NA
H20_Ms_r3	H20	H20-M	4.083161	-52.681634	10-370	Petit Plateau	Terra firme	soil	r3	sample	NA
H20_Ms_r4	H20	H20-M	4.083161	-52.681634	10-370	Petit Plateau	Terra firme	soil	r4	sample	NA
H20_Nl_r1	H20	H20-N	4.083266	-52.681616	10-350	Petit Plateau	Terra firme	litter	r1	sample	NA
H20_Nl_r2	H20	H20-N	4.083266	-52.681616	10-350	Petit Plateau	Terra firme	litter	r2	sample	NA
H20_Nl_r3	H20	H20-N	4.083266	-52.681616	10-350	Petit Plateau	Terra firme	litter	r3	sample	NA
H20_Nl_r4	H20	H20-N	4.083266	-52.681616	10-350	Petit Plateau	Terra firme	litter	r4	sample	NA
H20_Ns_r1	H20	H20-N	4.083266	-52.681616	10-350	Petit Plateau	Terra firme	soil	r1	sample	NA
H20_Ns_r2	H20	H20-N	4.083266	-52.681616	10-350	Petit Plateau	Terra firme	soil	r2	sample	NA
H20_Ns_r3	H20	H20-N	4.083266	-52.681616	10-350	Petit Plateau	Terra firme	soil	r3	sample	NA
H20_Ns_r4	H20	H20-N	4.083266	-52.681616	10-350	Petit Plateau	Terra firme	soil	r4	sample	NA
H20_Ol_r1	H20	H20-O	4.083373	-52.681861	10-330	Petit Plateau	Terra firme	litter	r1	sample	NA
H20_Ol_r2	H20	H20-O	4.083373	-52.681861	10-330	Petit Plateau	Terra firme	litter	r2	sample	NA
H20_Ol_r3	H20	H20-O	4.083373	-52.681861	10-330	Petit Plateau	Terra firme	litter	r3	sample	NA
H20_Ol_r4	H20	H20-O	4.083373	-52.681861	10-330	Petit Plateau	Terra firme	litter	r4	sample	NA
H20_Os_r1	H20	H20-O	4.083373	-52.681861	10-330	Petit Plateau	Terra firme	soil	r1	sample	NA
H20_Os_r2	H20	H20-O	4.083373	-52.681861	10-330	Petit Plateau	Terra firme	soil	r2	sample	NA
H20_Os_r3	H20	H20-O	4.083373	-52.681861	10-330	Petit Plateau	Terra firme	soil	r3	sample	NA
H20_Os_r4	H20	H20-O	4.083373	-52.681861	10-330	Petit Plateau	Terra firme	soil	r4	sample	NA
H20_Pl_r1	H20	H20-P	4.083477	-52.682032	10-310	Petit Plateau	Terra firme	litter	r1	sample	NA
H20_Pl_r2	H20	H20-P	4.083477	-52.682032	10-310	Petit Plateau	Terra firme	litter	r2	sample	NA
H20_Pl_r3	H20	H20-P	4.083477	-52.682032	10-310	Petit Plateau	Terra firme	litter	r3	sample	NA
H20_Pl_r4	H20	H20-P	4.083477	-52.682032	10-310	Petit Plateau	Terra firme	litter	r4	sample	NA
H20_Ps_r1	H20	H20-P	4.083477	-52.682032	10-310	Petit Plateau	Terra firme	soil	r1	sample	NA
H20_Ps_r2	H20	H20-P	4.083477	-52.682032	10-310	Petit Plateau	Terra firme	soil	r2	sample	NA
H20_Ps_r3	H20	H20-P	4.083477	-52.682032	10-310	Petit Plateau	Terra firme	soil	r3	sample	NA
H20_Ps_r4	H20	H20-P	4.083477	-52.682032	10-310	Petit Plateau	Terra firme	soil	r4	sample	NA
MAN_Al_r1	MAN	MAN-A	5.407813	-53.64559	NA	Mana	White sands	litter	r1	sample	NA
MAN_Al_r2	MAN	MAN-A	5.407813	-53.64559	NA	Mana	White sands	litter	r2	sample	NA
MAN_Al_r3	MAN	MAN-A	5.407813	-53.64559	NA	Mana	White sands	litter	r3	sample	NA
MAN_Al_r4	MAN	MAN-A	5.407813	-53.64559	NA	Mana	White sands	litter	r4	sample	NA
MAN_As_r1	MAN	MAN-A	5.407813	-53.64559	NA	Mana	White sands	soil	r1	sample	NA
MAN_As_r2	MAN	MAN-A	5.407813	-53.64559	NA	Mana	White sands	soil	r2	sample	NA
MAN_As_r3	MAN	MAN-A	5.407813	-53.64559	NA	Mana	White sands	soil	r3	sample	NA
MAN_As_r4	MAN	MAN-A	5.407813	-53.64559	NA	Mana	White sands	soil	r4	sample	NA
MAN_Bl_r1	MAN	MAN-B	5.077534	-53.645498	NA	Mana	White sands	litter	r1	sample	NA
MAN_Bl_r2	MAN	MAN-B	5.077534	-53.645498	NA	Mana	White sands	litter	r2	sample	NA
MAN_Bl_r3	MAN	MAN-B	5.077534	-53.645498	NA	Mana	White sands	litter	r3	sample	NA
MAN_Bl_r4	MAN	MAN-B	5.077534	-53.645498	NA	Mana	White sands	litter	r4	sample	NA
MAN_Bs_r1	MAN	MAN-B	5.077534	-53.645498	NA	Mana	White sands	soil	r1	sample	NA
MAN_Bs_r2	MAN	MAN-B	5.077534	-53.645498	NA	Mana	White sands	soil	r2	sample	NA
MAN_Bs_r3	MAN	MAN-B	5.077534	-53.645498	NA	Mana	White sands	soil	r3	sample	NA
MAN_Bs_r4	MAN	MAN-B	5.077534	-53.645498	NA	Mana	White sands	soil	r4	sample	NA
MAN_Cl_r1	MAN	MAN-C	5.407747	-53.645317	NA	Mana	White sands	litter	r1	sample	NA
MAN_Cl_r2	MAN	MAN-C	5.407747	-53.645317	NA	Mana	White sands	litter	r2	sample	NA
MAN_Cl_r3	MAN	MAN-C	5.407747	-53.645317	NA	Mana	White sands	litter	r3	sample	NA
MAN_Cl_r4	MAN	MAN-C	5.407747	-53.645317	NA	Mana	White sands	litter	r4	sample	NA
MAN_Cs_r1	MAN	MAN-C	5.407747	-53.645317	NA	Mana	White sands	soil	r1	sample	NA
MAN_Cs_r2	MAN	MAN-C	5.407747	-53.645317	NA	Mana	White sands	soil	r2	sample	NA
MAN_Cs_r3	MAN	MAN-C	5.407747	-53.645317	NA	Mana	White sands	soil	r3	sample	NA
MAN_Cs_r4	MAN	MAN-C	5.407747	-53.645317	NA	Mana	White sands	soil	r4	sample	NA
MAN_Dl_r1	MAN	MAN-D	5.407685	-53.645156	NA	Mana	White sands	litter	r1	sample	NA
MAN_Dl_r2	MAN	MAN-D	5.407685	-53.645156	NA	Mana	White sands	litter	r2	sample	NA
MAN_Dl_r3	MAN	MAN-D	5.407685	-53.645156	NA	Mana	White sands	litter	r3	sample	NA
MAN_Dl_r4	MAN	MAN-D	5.407685	-53.645156	NA	Mana	White sands	litter	r4	sample	NA
MAN_Ds_r1	MAN	MAN-D	5.407685	-53.645156	NA	Mana	White sands	soil	r1	sample	NA
MAN_Ds_r2	MAN	MAN-D	5.407685	-53.645156	NA	Mana	White sands	soil	r2	sample	NA
MAN_Ds_r3	MAN	MAN-D	5.407685	-53.645156	NA	Mana	White sands	soil	r3	sample	NA
MAN_Ds_r4	MAN	MAN-D	5.407685	-53.645156	NA	Mana	White sands	soil	r4	sample	NA
MAN_El_r1	MAN	MAN-E	5.407929	-53.64497	NA	Mana	White sands	litter	r1	sample	NA
MAN_El_r2	MAN	MAN-E	5.407929	-53.64497	NA	Mana	White sands	litter	r2	sample	NA
MAN_El_r3	MAN	MAN-E	5.407929	-53.64497	NA	Mana	White sands	litter	r3	sample	NA
MAN_El_r4	MAN	MAN-E	5.407929	-53.64497	NA	Mana	White sands	litter	r4	sample	NA
MAN_Es_r1	MAN	MAN-E	5.407929	-53.64497	NA	Mana	White sands	soil	r1	sample	NA
MAN_Es_r2	MAN	MAN-E	5.407929	-53.64497	NA	Mana	White sands	soil	r2	sample	NA
MAN_Es_r3	MAN	MAN-E	5.407929	-53.64497	NA	Mana	White sands	soil	r3	sample	NA
MAN_Es_r4	MAN	MAN-E	5.407929	-53.64497	NA	Mana	White sands	soil	r4	sample	NA
MAN_Fl_r1	MAN	MAN-F	5.408024	-53.645137	NA	Mana	White sands	litter	r1	sample	NA
MAN_Fl_r2	MAN	MAN-F	5.408024	-53.645137	NA	Mana	White sands	litter	r2	sample	NA
MAN_Fl_r3	MAN	MAN-F	5.408024	-53.645137	NA	Mana	White sands	litter	r3	sample	NA
MAN_Fl_r4	MAN	MAN-F	5.408024	-53.645137	NA	Mana	White sands	litter	r4	sample	NA
MAN_Fs_r1	MAN	MAN-F	5.408024	-53.645137	NA	Mana	White sands	soil	r1	sample	NA
MAN_Fs_r2	MAN	MAN-F	5.408024	-53.645137	NA	Mana	White sands	soil	r2	sample	NA
MAN_Fs_r3	MAN	MAN-F	5.408024	-53.645137	NA	Mana	White sands	soil	r3	sample	NA
MAN_Fs_r4	MAN	MAN-F	5.408024	-53.645137	NA	Mana	White sands	soil	r4	sample	NA
MAN_Gl_r1	MAN	MAN-G	5.408052	-53.645306	NA	Mana	White sands	litter	r1	sample	NA
MAN_Gl_r2	MAN	MAN-G	5.408052	-53.645306	NA	Mana	White sands	litter	r2	sample	NA
MAN_Gl_r3	MAN	MAN-G	5.408052	-53.645306	NA	Mana	White sands	litter	r3	sample	NA
MAN_Gl_r4	MAN	MAN-G	5.408052	-53.645306	NA	Mana	White sands	litter	r4	sample	NA
MAN_Gs_r1	MAN	MAN-G	5.408052	-53.645306	NA	Mana	White sands	soil	r1	sample	NA
MAN_Gs_r2	MAN	MAN-G	5.408052	-53.645306	NA	Mana	White sands	soil	r2	sample	NA
MAN_Gs_r3	MAN	MAN-G	5.408052	-53.645306	NA	Mana	White sands	soil	r3	sample	NA
MAN_Gs_r4	MAN	MAN-G	5.408052	-53.645306	NA	Mana	White sands	soil	r4	sample	NA
MAN_Hl_r1	MAN	MAN-H	5.40807	-53.645468	NA	Mana	White sands	litter	r1	sample	NA
MAN_Hl_r2	MAN	MAN-H	5.40807	-53.645468	NA	Mana	White sands	litter	r2	sample	NA
MAN_Hl_r3	MAN	MAN-H	5.40807	-53.645468	NA	Mana	White sands	litter	r3	sample	NA
MAN_Hl_r4	MAN	MAN-H	5.40807	-53.645468	NA	Mana	White sands	litter	r4	sample	NA
MAN_Hs_r1	MAN	MAN-H	5.40807	-53.645468	NA	Mana	White sands	soil	r1	sample	NA
MAN_Hs_r2	MAN	MAN-H	5.40807	-53.645468	NA	Mana	White sands	soil	r2	sample	NA
MAN_Hs_r3	MAN	MAN-H	5.40807	-53.645468	NA	Mana	White sands	soil	r3	sample	NA
MAN_Hs_r4	MAN	MAN-H	5.40807	-53.645468	NA	Mana	White sands	soil	r4	sample	NA
MAN_Il_r1	MAN	MAN-I	5.407884	-53.645575	NA	Mana	White sands	litter	r1	sample	NA
MAN_Il_r2	MAN	MAN-I	5.407884	-53.645575	NA	Mana	White sands	litter	r2	sample	NA
MAN_Il_r3	MAN	MAN-I	5.407884	-53.645575	NA	Mana	White sands	litter	r3	sample	NA
MAN_Il_r4	MAN	MAN-I	5.407884	-53.645575	NA	Mana	White sands	litter	r4	sample	NA
MAN_Is_r1	MAN	MAN-I	5.407884	-53.645575	NA	Mana	White sands	soil	r1	sample	NA
MAN_Is_r2	MAN	MAN-I	5.407884	-53.645575	NA	Mana	White sands	soil	r2	sample	NA
MAN_Is_r3	MAN	MAN-I	5.407884	-53.645575	NA	Mana	White sands	soil	r3	sample	NA
MAN_Is_r4	MAN	MAN-I	5.407884	-53.645575	NA	Mana	White sands	soil	r4	sample	NA
MAN_Jl_r1	MAN	MAN-J	5.407581	-53.645494	NA	Mana	White sands	litter	r1	sample	NA
MAN_Jl_r2	MAN	MAN-J	5.407581	-53.645494	NA	Mana	White sands	litter	r2	sample	NA
MAN_Jl_r3	MAN	MAN-J	5.407581	-53.645494	NA	Mana	White sands	litter	r3	sample	NA
MAN_Jl_r4	MAN	MAN-J	5.407581	-53.645494	NA	Mana	White sands	litter	r4	sample	NA
MAN_Js_r1	MAN	MAN-J	5.407581	-53.645494	NA	Mana	White sands	soil	r1	sample	NA
MAN_Js_r2	MAN	MAN-J	5.407581	-53.645494	NA	Mana	White sands	soil	r2	sample	NA
MAN_Js_r3	MAN	MAN-J	5.407581	-53.645494	NA	Mana	White sands	soil	r3	sample	NA
MAN_Js_r4	MAN	MAN-J	5.407581	-53.645494	NA	Mana	White sands	soil	r4	sample	NA
MAN_Kl_r1	MAN	MAN-K	5.407512	-53.645234	NA	Mana	White sands	litter	r1	sample	NA
MAN_Kl_r2	MAN	MAN-K	5.407512	-53.645234	NA	Mana	White sands	litter	r2	sample	NA
MAN_Kl_r3	MAN	MAN-K	5.407512	-53.645234	NA	Mana	White sands	litter	r3	sample	NA
MAN_Kl_r4	MAN	MAN-K	5.407512	-53.645234	NA	Mana	White sands	litter	r4	sample	NA
MAN_Ks_r1	MAN	MAN-K	5.407512	-53.645234	NA	Mana	White sands	soil	r1	sample	NA
MAN_Ks_r2	MAN	MAN-K	5.407512	-53.645234	NA	Mana	White sands	soil	r2	sample	NA
MAN_Ks_r3	MAN	MAN-K	5.407512	-53.645234	NA	Mana	White sands	soil	r3	sample	NA
MAN_Ks_r4	MAN	MAN-K	5.407512	-53.645234	NA	Mana	White sands	soil	r4	sample	NA
MAN_Ll_r1	MAN	MAN-L	5.407444	-53.64503	NA	Mana	White sands	litter	r1	sample	NA
MAN_Ll_r2	MAN	MAN-L	5.407444	-53.64503	NA	Mana	White sands	litter	r2	sample	NA
MAN_Ll_r3	MAN	MAN-L	5.407444	-53.64503	NA	Mana	White sands	litter	r3	sample	NA
MAN_Ll_r4	MAN	MAN-L	5.407444	-53.64503	NA	Mana	White sands	litter	r4	sample	NA
MAN_Ls_r1	MAN	MAN-L	5.407444	-53.64503	NA	Mana	White sands	soil	r1	sample	NA
MAN_Ls_r2	MAN	MAN-L	5.407444	-53.64503	NA	Mana	White sands	soil	r2	sample	NA
MAN_Ls_r3	MAN	MAN-L	5.407444	-53.64503	NA	Mana	White sands	soil	r3	sample	NA
MAN_Ls_r4	MAN	MAN-L	5.407444	-53.64503	NA	Mana	White sands	soil	r4	sample	NA
MAN_Ml_r1	MAN	MAN-M	5.407247	-53.645045	NA	Mana	White sands	litter	r1	sample	NA
MAN_Ml_r2	MAN	MAN-M	5.407247	-53.645045	NA	Mana	White sands	litter	r2	sample	NA
MAN_Ml_r3	MAN	MAN-M	5.407247	-53.645045	NA	Mana	White sands	litter	r3	sample	NA
MAN_Ml_r4	MAN	MAN-M	5.407247	-53.645045	NA	Mana	White sands	litter	r4	sample	NA
MAN_Ms_r1	MAN	MAN-M	5.407247	-53.645045	NA	Mana	White sands	soil	r1	sample	NA
MAN_Ms_r2	MAN	MAN-M	5.407247	-53.645045	NA	Mana	White sands	soil	r2	sample	NA
MAN_Ms_r3	MAN	MAN-M	5.407247	-53.645045	NA	Mana	White sands	soil	r3	sample	NA
MAN_Ms_r4	MAN	MAN-M	5.407247	-53.645045	NA	Mana	White sands	soil	r4	sample	NA
MAN_Nl_r1	MAN	MAN-N	5.407318	-53.645405	NA	Mana	White sands	litter	r1	sample	NA
MAN_Nl_r2	MAN	MAN-N	5.407318	-53.645405	NA	Mana	White sands	litter	r2	sample	NA
MAN_Nl_r3	MAN	MAN-N	5.407318	-53.645405	NA	Mana	White sands	litter	r3	sample	NA
MAN_Nl_r4	MAN	MAN-N	5.407318	-53.645405	NA	Mana	White sands	litter	r4	sample	NA
MAN_Ns_r1	MAN	MAN-N	5.407318	-53.645405	NA	Mana	White sands	soil	r1	sample	NA
MAN_Ns_r2	MAN	MAN-N	5.407318	-53.645405	NA	Mana	White sands	soil	r2	sample	NA
MAN_Ns_r3	MAN	MAN-N	5.407318	-53.645405	NA	Mana	White sands	soil	r3	sample	NA
MAN_Ns_r4	MAN	MAN-N	5.407318	-53.645405	NA	Mana	White sands	soil	r4	sample	NA
MAN_Ol_r1	MAN	MAN-O	5.407461	-53.645487	NA	Mana	White sands	litter	r1	sample	NA
MAN_Ol_r2	MAN	MAN-O	5.407461	-53.645487	NA	Mana	White sands	litter	r2	sample	NA
MAN_Ol_r3	MAN	MAN-O	5.407461	-53.645487	NA	Mana	White sands	litter	r3	sample	NA
MAN_Ol_r4	MAN	MAN-O	5.407461	-53.645487	NA	Mana	White sands	litter	r4	sample	NA
